06:16,18:02,1,2018-10-02,3440,18:58,null
06:17,18:00,2,2018-10-03,3440,18:59,07:35
06:18,17:59,3,2018-10-04,3440,19:04,null
06:19,17:57,4,2018-10-05,3440,18:32,null
06:20,17:55,5,2018-10-06,3440,19:20,07:40
06:21,17:54,6,2018-10-07,3440,19:10,null
06:30,17:41,0,2018-10-15,3440,19:11,null
06:31,17:40,1,2018-10-16,3440,18:56,07:38
06:32,17:38,2,2018-10-17,3440,19:04,07:47
06:33,17:37,3,2018-10-18,3440,19:05,07:45
06:34,17:35,4,2018-10-19,3440,18:33,null
06:35,17:34,5,2018-10-20,3440,19:58,null
06:36,17:32,6,2018-10-21,3440,20:27,07:41
06:37,17:31,0,2018-10-22,3440,18:47,null
06:38,17:30,1,2018-10-23,3440,18:26,07:46
06:40,17:28,2,2018-10-24,3440,18:24,07:45
06:41,17:27,3,2018-10-25,3440,19:10,07:58
06:42,17:26,4,2018-10-26,3440,18:45,07:48
06:43,17:24,5,2018-10-27,3440,18:04,07:59
06:44,17:23,6,2018-10-28,3440,19:50,07:55
06:45,17:22,0,2018-10-29,3440,19:23,null
06:46,17:20,1,2018-10-30,3440,18:47,07:55
06:47,17:19,2,2018-10-31,3440,18:17,null
06:49,17:18,3,2018-11-01,3440,18:25,null
06:50,17:17,4,2018-11-02,3440,18:23,null
06:51,17:15,5,2018-11-03,3440,17:04,null
06:53,17:13,6,2018-11-04,3440,19:35,null
07:03,17:05,0,2018-11-12,3440,18:48,null
07:04,17:04,1,2018-11-13,3440,17:53,null
07:05,17:03,2,2018-11-14,3440,18:53,null
07:06,17:03,3,2018-11-15,3440,18:38,null
07:07,17:02,4,2018-11-16,3440,18:58,null
07:08,17:01,5,2018-11-17,3440,20:02,null
07:10,17:00,6,2018-11-18,3440,18:33,null
07:11,17:00,0,2018-11-19,3440,19:11,null
07:12,16:59,1,2018-11-20,3440,16:49,null
07:15,16:57,4,2018-11-23,3440,16:50,07:32
07:16,16:57,5,2018-11-24,3440,22:22,null
07:17,16:56,6,2018-11-25,3440,19:10,null
07:18,16:56,0,2018-11-26,3440,18:37,null
07:20,16:55,1,2018-11-27,3440,17:53,07:36
07:21,16:55,2,2018-11-28,3440,18:52,07:39
07:22,16:55,3,2018-11-29,3440,18:01,07:34
07:23,16:54,4,2018-11-30,3440,18:12,07:39
07:24,16:54,5,2018-12-01,3440,16:47,null
07:25,16:54,6,2018-12-02,3440,18:18,null
07:32,16:53,0,2018-12-10,3440,19:21,null
07:33,16:53,1,2018-12-11,3440,18:05,07:53
07:34,16:54,2,2018-12-12,3440,18:43,07:45
07:34,16:54,3,2018-12-13,3440,18:58,07:37
07:35,16:54,4,2018-12-14,3440,18:32,07:42
07:36,16:54,5,2018-12-15,3440,17:49,07:43
07:37,16:55,6,2018-12-16,3440,21:10,07:50
07:37,16:55,0,2018-12-17,3440,19:09,07:43
07:38,16:55,1,2018-12-18,3440,17:59,07:56
07:38,16:56,2,2018-12-19,3440,18:08,07:45
07:39,16:56,3,2018-12-20,3440,18:03,07:58
07:40,16:57,4,2018-12-21,3440,18:45,07:56
07:40,16:57,5,2018-12-22,3440,15:47,null
07:41,16:58,6,2018-12-23,3440,20:35,null
07:41,16:58,0,2018-12-24,3440,19:18,null
07:41,16:59,1,2018-12-25,3440,18:29,07:39
07:42,16:59,2,2018-12-26,3440,18:26,07:49
07:42,17:00,3,2018-12-27,3440,18:05,07:45
07:42,17:01,4,2018-12-28,3440,18:23,07:47
07:43,17:02,5,2018-12-29,3440,null,null
07:43,17:02,6,2018-12-30,3440,22:36,07:50
07:43,17:03,0,2018-12-31,3440,19:18,07:59
