date,mse
2019-01-01,144.10824074074074
2019-01-02,145.29944444444445
2019-01-03,142.83916666666667
2019-01-04,149.76518518518517
2019-01-05,159.81041666666667
2019-01-06,98.74305555555554
2019-01-07,106.74282407407405
2019-01-08,133.090462962963
2019-01-09,133.56629629629631
2019-01-10,157.1576388888889
2019-01-11,211.27351851851847
2019-01-12,198.9130555555556
2019-01-13,220.1854166666666
2019-01-14,139.76277777777779
2019-01-15,161.26939814814816
2019-01-16,149.24976851851852
2019-01-17,153.53643518518518
2019-01-18,158.72685185185182
2019-01-19,190.92199074074074
2019-01-20,157.39611111111108
2019-01-21,162.58592592592592
2019-01-22,154.46516666666668
2019-01-23,155.6909722222222
2019-01-24,158.86375
2019-01-25,154.27060185185184
2019-01-26,177.8926851851852
2019-01-27,175.1922685185185
2019-01-28,161.31365740740742
2019-01-29,150.5848611111111
2019-01-30,157.09157407407406
2019-01-31,144.9173148148148
2019-02-01,161.3575462962963
2019-02-02,226.49455555555556
2019-02-03,169.91349999999997
2019-02-04,157.44310185185188
2019-02-05,152.3500925925926
2019-02-06,153.69435185185185
2019-02-07,143.03643518518518
2019-02-08,165.82944444444445
2019-02-09,193.13194444444446
2019-02-10,171.5445833333333
2019-02-11,159.44564814814814
2019-02-12,146.46509259259258
2019-02-13,175.0893888888889
2019-02-14,171.5308796296296
2019-02-15,159.68050925925922
2019-02-16,199.93828703703704
2019-02-17,182.3160185185185
2019-02-18,165.46162037037035
2019-02-19,189.47592592592594
2019-02-20,194.86180555555555
2019-02-21,159.80111111111108
2019-02-22,171.8148611111111
2019-02-23,195.63925925925926
2019-02-24,178.1940277777778
2019-02-25,185.0575925925926
2019-02-26,160.3460648148148
2019-02-27,191.9910648148148
2019-02-28,119.61495370370369
