date,mse
2019-01-01,203.98287037037036
2019-01-02,141.41546296296295
2019-01-03,163.02671296296296
2019-01-04,171.29935185185187
2019-01-05,232.5749074074074
2019-01-06,269.7870833333333
2019-01-07,131.56513888888887
2019-01-08,134.83560185185183
2019-01-09,220.7839351851852
2019-01-10,196.10310185185185
2019-01-11,173.04944444444445
2019-01-12,184.10671296296297
2019-01-13,227.27374999999998
2019-01-14,162.50013888888887
2019-01-15,151.54675925925926
2019-01-16,151.52175925925926
2019-01-17,107.30902777777779
2019-01-18,164.7011574074074
2019-01-19,147.64856481481482
2019-01-20,189.42310185185184
2019-01-21,130.97324074074075
2019-01-22,175.3887222222222
2019-01-23,139.6851851851852
2019-01-24,148.81500000000003
2019-01-25,105.0614351851852
2019-01-26,154.97430555555556
2019-01-27,159.0514351851852
2019-01-28,153.6996296296296
2019-01-29,175.61083333333332
2019-01-30,145.96546296296296
2019-01-31,159.8775462962963
2019-02-01,103.48972222222223
2019-02-02,142.1818888888889
2019-02-03,135.58283333333333
2019-02-04,200.55416666666667
2019-02-05,210.51717592592593
2019-02-06,102.42430555555556
2019-02-07,194.03064814814817
2019-02-08,197.3463888888889
2019-02-09,230.55249999999998
2019-02-10,191.34842592592597
2019-02-11,201.22689814814817
2019-02-12,192.30527777777777
2019-02-13,135.66788888888888
2019-02-14,191.73597222222224
2019-02-15,170.96953703703707
2019-02-16,195.5534722222222
2019-02-17,189.6441203703704
2019-02-18,185.78912037037037
2019-02-19,156.09879629629629
2019-02-20,149.0963425925926
2019-02-21,179.45824074074076
2019-02-22,210.39064814814813
2019-02-23,223.47435185185188
2019-02-24,227.1934722222222
2019-02-25,223.24546296296296
2019-02-26,190.9065740740741
2019-02-27,198.60689814814816
2019-02-28,187.0828240740741
