1,2018-10-02,3440,18:58,null
2,2018-10-03,3440,18:59,07:35
3,2018-10-04,3440,19:04,null
4,2018-10-05,3440,18:32,null
5,2018-10-06,3440,19:20,07:40
6,2018-10-07,3440,19:10,null
0,2018-10-15,3440,19:11,null
1,2018-10-16,3440,18:56,07:38
2,2018-10-17,3440,19:04,07:47
3,2018-10-18,3440,19:05,07:45
4,2018-10-19,3440,18:33,null
5,2018-10-20,3440,19:58,null
6,2018-10-21,3440,20:27,07:41
0,2018-10-22,3440,18:47,null
1,2018-10-23,3440,18:26,07:46
2,2018-10-24,3440,18:24,07:45
3,2018-10-25,3440,19:10,07:58
4,2018-10-26,3440,18:45,07:48
5,2018-10-27,3440,18:04,07:59
6,2018-10-28,3440,19:50,07:55
0,2018-10-29,3440,19:23,null
1,2018-10-30,3440,18:47,07:55
2,2018-10-31,3440,18:17,null
3,2018-11-01,3440,18:25,null
4,2018-11-02,3440,18:23,null
5,2018-11-03,3440,17:04,null
6,2018-11-04,3440,19:35,null
0,2018-11-12,3440,18:48,null
1,2018-11-13,3440,17:53,null
2,2018-11-14,3440,18:53,null
3,2018-11-15,3440,18:38,null
4,2018-11-16,3440,18:58,null
5,2018-11-17,3440,20:02,null
6,2018-11-18,3440,18:33,null
0,2018-11-19,3440,19:11,null
1,2018-11-20,3440,16:49,null
4,2018-11-23,3440,16:50,07:32
5,2018-11-24,3440,22:22,null
6,2018-11-25,3440,19:10,null
0,2018-11-26,3440,18:37,null
1,2018-11-27,3440,17:53,07:36
2,2018-11-28,3440,18:52,07:39
3,2018-11-29,3440,18:01,07:34
4,2018-11-30,3440,18:12,07:39
5,2018-12-01,3440,16:47,null
6,2018-12-02,3440,18:18,null
0,2018-12-10,3440,19:21,null
1,2018-12-11,3440,18:05,07:53
2,2018-12-12,3440,18:43,07:45
3,2018-12-13,3440,18:58,07:37
4,2018-12-14,3440,18:32,07:42
5,2018-12-15,3440,17:49,07:43
6,2018-12-16,3440,21:10,07:50
0,2018-12-17,3440,19:09,07:43
1,2018-12-18,3440,17:59,07:56
2,2018-12-19,3440,18:08,07:45
3,2018-12-20,3440,18:03,07:58
4,2018-12-21,3440,18:45,07:56
5,2018-12-22,3440,15:47,null
6,2018-12-23,3440,20:35,null
0,2018-12-24,3440,19:18,null
1,2018-12-25,3440,18:29,07:39
2,2018-12-26,3440,18:26,07:49
3,2018-12-27,3440,18:05,07:45
4,2018-12-28,3440,18:23,07:47
5,2018-12-29,3440,null,null
6,2018-12-30,3440,22:36,07:50
0,2018-12-31,3440,19:18,07:59
