1,2018-10-02,5037,18:34,07:32
2,2018-10-03,5037,18:55,07:27
3,2018-10-04,5037,19:56,07:31
4,2018-10-05,5037,18:51,07:28
5,2018-10-06,5037,18:26,07:37
6,2018-10-07,5037,21:58,07:32
0,2018-10-15,5037,19:03,01:47
1,2018-10-16,5037,19:23,07:32
2,2018-10-17,5037,19:13,00:30
3,2018-10-18,5037,18:33,07:39
4,2018-10-19,5037,18:28,07:52
5,2018-10-20,5037,18:11,07:45
6,2018-10-21,5037,20:40,07:49
0,2018-10-22,5037,18:01,00:38
1,2018-10-23,5037,20:42,07:56
2,2018-10-24,5037,19:53,00:46
3,2018-10-25,5037,null,07:53
4,2018-10-26,5037,20:50,null
5,2018-10-27,5037,21:21,02:34
6,2018-10-28,5037,22:16,07:45
0,2018-10-29,5037,19:07,02:09
1,2018-10-30,5037,19:10,07:58
2,2018-10-31,5037,18:20,null
3,2018-11-01,5037,18:26,07:59
4,2018-11-02,5037,19:25,null
5,2018-11-03,5037,20:57,01:29
6,2018-11-04,5037,19:50,null
0,2018-11-12,5037,19:10,00:16
1,2018-11-13,5037,18:57,07:16
2,2018-11-14,5037,19:46,07:23
3,2018-11-15,5037,18:26,01:37
4,2018-11-16,5037,19:28,07:29
5,2018-11-17,5037,21:41,07:23
6,2018-11-18,5037,19:39,07:13
0,2018-11-19,5037,18:56,07:20
1,2018-11-20,5037,19:01,00:06
2,2018-11-21,5037,19:02,07:27
3,2018-11-22,5037,18:53,00:51
4,2018-11-23,5037,19:12,07:34
5,2018-11-24,5037,22:50,00:53
6,2018-11-25,5037,16:31,07:36
0,2018-11-26,5037,18:41,07:28
1,2018-11-27,5037,18:29,07:32
2,2018-11-28,5037,19:18,07:33
3,2018-11-29,5037,18:20,00:24
4,2018-11-30,5037,19:00,07:43
5,2018-12-01,5037,20:28,07:33
6,2018-12-02,5037,18:36,07:36
0,2018-12-10,5037,18:52,07:42
1,2018-12-11,5037,18:50,07:38
2,2018-12-12,5037,18:42,01:00
3,2018-12-13,5037,18:43,07:38
4,2018-12-14,5037,18:37,07:48
5,2018-12-15,5037,19:39,07:43
6,2018-12-16,5037,22:50,07:50
0,2018-12-17,5037,18:09,07:48
1,2018-12-18,5037,18:13,07:45
2,2018-12-19,5037,19:07,07:49
3,2018-12-20,5037,19:32,07:51
4,2018-12-21,5037,null,07:52
5,2018-12-22,5037,21:33,null
6,2018-12-23,5037,20:47,07:51
0,2018-12-24,5037,18:37,07:59
1,2018-12-25,5037,18:23,07:52
2,2018-12-26,5037,18:47,null
3,2018-12-27,5037,18:36,00:39
4,2018-12-28,5037,19:25,null
5,2018-12-29,5037,22:22,null
6,2018-12-30,5037,20:43,01:24
0,2018-12-31,5037,17:54,07:55
