1,2018-10-02,9419,18:59,07:33
2,2018-10-03,9419,19:10,07:33
3,2018-10-04,9419,19:24,07:41
4,2018-10-05,9419,18:26,07:40
5,2018-10-06,9419,19:47,07:38
6,2018-10-07,9419,19:44,00:36
0,2018-10-15,9419,19:20,07:44
1,2018-10-16,9419,22:27,07:41
2,2018-10-17,9419,18:54,07:36
3,2018-10-18,9419,17:55,07:46
4,2018-10-19,9419,22:15,07:42
5,2018-10-20,9419,20:43,00:45
6,2018-10-21,9419,21:18,07:54
0,2018-10-22,9419,null,07:53
1,2018-10-23,9419,18:29,07:58
2,2018-10-24,9419,19:01,null
3,2018-10-25,9419,19:09,null
4,2018-10-26,9419,18:34,07:50
5,2018-10-27,9419,18:23,00:23
6,2018-10-28,9419,17:43,00:50
0,2018-10-29,9419,18:59,null
1,2018-10-30,9419,19:34,07:58
2,2018-10-31,9419,18:59,null
3,2018-11-01,9419,18:49,07:54
4,2018-11-02,9419,19:29,null
5,2018-11-03,9419,18:25,01:13
6,2018-11-04,9419,21:32,00:32
0,2018-11-12,9419,19:15,07:10
1,2018-11-13,9419,18:40,07:18
2,2018-11-14,9419,17:45,07:09
3,2018-11-15,9419,19:26,07:18
4,2018-11-16,9419,19:13,07:18
5,2018-11-17,9419,20:09,07:12
6,2018-11-18,9419,18:56,07:34
0,2018-11-19,9419,18:24,07:19
1,2018-11-20,9419,18:49,07:24
2,2018-11-21,9419,18:55,07:30
3,2018-11-22,9419,19:11,07:21
4,2018-11-23,9419,17:33,07:22
5,2018-11-24,9419,19:05,00:34
6,2018-11-25,9419,20:35,07:28
0,2018-11-26,9419,18:54,null
1,2018-11-27,9419,19:50,07:26
2,2018-11-28,9419,19:15,07:26
3,2018-11-29,9419,18:03,07:33
4,2018-11-30,9419,19:25,07:41
5,2018-12-01,9419,15:46,07:36
6,2018-12-02,9419,20:44,07:31
0,2018-12-10,9419,19:03,07:40
1,2018-12-11,9419,19:08,07:32
2,2018-12-12,9419,18:13,07:46
3,2018-12-13,9419,18:37,07:43
4,2018-12-14,9419,18:51,07:45
5,2018-12-15,9419,21:33,07:48
6,2018-12-16,9419,16:27,07:46
0,2018-12-17,9419,19:06,07:56
1,2018-12-18,9419,19:11,07:50
2,2018-12-19,9419,18:37,07:53
3,2018-12-20,9419,19:01,null
4,2018-12-21,9419,18:53,07:44
5,2018-12-22,9419,16:38,07:51
6,2018-12-23,9419,19:48,null
0,2018-12-24,9419,18:23,null
1,2018-12-25,9419,19:09,07:47
2,2018-12-26,9419,18:14,07:50
3,2018-12-27,9419,18:24,07:51
4,2018-12-28,9419,18:51,null
5,2018-12-29,9419,18:31,07:50
6,2018-12-30,9419,21:40,07:48
0,2018-12-31,9419,18:09,07:57
