date,mse
15463188,155.47717592592593
15464052,165.46421296296296
15464916,133.367962962963
15465780,156.6951388888889
15466644,186.43921296296296
15467508,134.53907407407408
15468372,146.75976851851848
15469236,134.22875000000002
15470100,146.94532407407408
15470964,147.9791203703704
15471828,180.30736111111108
15472692,196.91268518518518
15473556,200.17583333333332
15474420,149.68546296296296
15475284,163.8321759259259
15476148,157.9525462962963
15477012,140.52050925925928
15477876,162.57240740740738
15478740,193.57472222222222
15479604,161.10245370370373
15480468,170.39120370370372
15481332,155.92805555555555
15482196,165.04518518518518
15483060,143.64458333333334
15483924,156.35490740740738
15484788,177.58263888888894
15485652,181.3379166666667
15486516,166.83087962962964
15487380,150.95569444444445
15488244,164.37708333333333
15489108,129.26347222222225
15489972,160.17689814814813
15490836,215.42027777777776
15491700,175.57555555555558
15492564,161.70907407407407
15493428,153.47453703703704
15494292,160.55162037037036
15495156,128.1191666666667
15496020,163.38171296296295
15496884,193.22009259259258
15497748,176.83060185185187
15498612,162.17018518518518
15499476,145.9073148148148
15500340,182.67194444444445
15501204,155.4162962962963
15502068,155.01023148148147
15502932,198.40027777777777
15503796,187.6961574074074
15504660,167.20499999999998
15505524,158.39412037037036
15506388,171.00157407407406
15507252,147.634537037037
15508116,166.7699074074074
15508980,203.47162037037037
15509844,190.69430555555556
15510708,160.24337962962963
15511572,155.38004629629629
15512436,164.33291666666665
15513300,141.37125
