date,mse
15463188,218.20967592592592
15464052,138.3290740740741
15464916,160.44157407407405
15465780,177.395
15466644,256.3879166666666
15467508,247.14902777777777
15468372,136.91458333333333
15469236,144.82958333333332
15470100,205.8974537037037
15470964,173.30833333333337
15471828,173.82694444444442
15472692,172.62342592592594
15473556,237.41046296296295
15474420,158.7988425925926
15475284,158.77203703703705
15476148,139.35944444444445
15477012,141.96939814814817
15477876,166.87291666666664
15478740,205.0117592592592
15479604,254.49620370370363
15480468,137.4139814814815
15481332,184.23149999999998
15482196,138.51550925925926
15483060,138.6814351851852
15483924,152.18194444444444
15484788,173.30023148148146
15485652,217.95749999999998
15486516,138.66004629629631
15487380,161.37162037037038
15488244,176.1290740740741
15489108,162.63939814814813
15489972,156.5285185185185
15490836,212.74905555555551
15491700,231.57166666666663
15492564,186.27541666666664
15493428,197.81560185185185
15494292,157.55532407407406
15495156,198.1156018518519
15496020,200.39726851851853
15496884,231.60939814814813
15497748,259.75402777777776
15498612,186.72509259259257
15499476,201.94592592592593
15500340,184.38383333333337
15501204,188.80606481481482
15502068,168.42574074074074
15502932,218.42541666666662
15503796,185.35435185185187
15504660,166.11166666666668
15505524,181.40842592592594
15506388,147.38569444444445
15507252,216.81379629629632
15508116,204.4132407407407
15508980,234.46837962962965
15509844,231.4118055555555
15510708,198.26217592592593
15511572,171.59504629629632
15512436,193.16412037037037
15513300,191.7349537037037
